path,reading,additional_info,components,,,
images/1_あやしい.webp,あや'しい',,巾,,,
images/2_われわれ.webp,われわれ,4文字指定,勿,,,
"images/3_けむる,けぶる.webp",けむ'る'、けぶ'る',,火　鬱,,,
images/4_よい.webp,よ'い',,人　同　沸,,,
images/5_ひとつ.webp,ひと'つ',,齧　ヒ　マ,,,
images/6_おこす.webp,おこ'す',,人　法　心,,,
images/7_せいする.webp,せい'する',,木　未　りっとう,,,
images/8_せい.webp,せい,則天文字　2文字指定　音読み指定,,,,
images/9_ただしい.webp,ただ'しい',,豆　足,,,
images/10_とぼしい.webp,とぼ'しい',,正,,,
"images/11_つぐ, はぐ.webp",つ'ぐ'、 は'ぐ',,鹵　毛,,,
images/12_のっとる.webp,のっと'る',,県　りっとう,,,
"images/13_あめ,あま.webp",あめ、あま,,,,,
images/14_そなえる.webp,そな'える',,人　用,,,
images/15_しょうもん.webp,しょうもん,,メ　,,,
images/16_かんがえる.webp,かんが'える',,右　一　田　九,,,
images/17_むなしい.webp,むな'しい',,草　口　見　心,,,
images/18_あやしい.webp,あや'しい',2文字指定,女　男,,,
"images/19_かなび,かなび.webp",かなび、かなび,,金　国　口　主,,,
images/20_くくわけなく.webp,くくわけな'く',,ウ　穴　鳥,,,
"images/21_てんさくばんざい,てんさつばんざい.webp",てんさくばんざい、てんさつばんざい,則天文字,万歳,,,
images/22_もうす.webp,もう'す',,車　田　爪　糸　ヌ,,,
images/23_うしのあつもの.webp,うしのあつもの,飲食,肉　糸　助　カ　力,,,
images/24_なつ.webp,なつ,2文字指定,人　目　ム　足,,,
"images/25_まわる,めぐる.webp",まわ'る'、めぐ'る',,魚　同　巳,,,
images/26_おしたつ.webp,おした'つ',,しんにょう　1 丨,,,
images/27_ぶりざーど.webp,ぶりざーど,,魚　嵐,,,
"images/28_いわくら,いわぐら.webp",いわくら、いわぐら,,岩　石　聞,,,
images/29_ことごとしい.webp,ことごと'しい',,言　急　心,,,
images/30_おもしろい.webp,おもしろ'い',,言　慈,,,
images/31_はなす.webp,はな'す',,走,,,
images/32_ふえ.webp,ふえ,2文字指定,人　一　口　冊　ヨ,,,
images/33_しょうせい.webp,しょうせい,則天文字,求　全　金　,,,
images/34_じょ.webp,じょ,則天文字　2文字指定,凧,,,
images/35_てんち.webp,てんち,則天文字　3文字指定,山　水　土,,,
images/36_えんさい.webp,えんさい,則天文字,延　風,,,
images/37_そめる.webp,そ'める',,風　金　目,,,
images/38_ぽろにうむ.webp,ぽろにうむ,元素　5文字指定,金　卜,,,
images/39_まぼろし.webp,まぼろし,4文字指定,予,,,
images/40_うかがいみる.webp,うかがいみ'る',,女　見,,,
images/41_ばける.webp,ば'ける',,人　鬼,,,
images/42_ゆるす.webp,ゆる'す',,口　く,,,
images/43_たかい.webp,たか'い',,人　1 ヒ,,,
images/44_きす.webp,きす,動物,魚　細,,,
images/45_はためく.webp,はた'めく',,動,,,
"images/46_ぐれーん,げれーん,げれいん.webp",ぐれーん、げれーん、げれいん,単位　4文字指定,ノ　ひとあし,,,
images/47_つぶさに.webp,つぶさ'に',,門　目,,,
images/48_ゆめゆめ.webp,ゆめゆめ,,加,,,
images/49_あやつる.webp,あやつ'る',,風　入,,,
images/50_こよみびらき.webp,こよみびらき,,暦　門　貴,,,
images/51_らじうむ.webp,らじうむ,元素　4文字指定,金　雷,,,
images/52_うらん.webp,うらん,元素　3文字指定,金　由,,,
